Essays,Michel de Montaigne,1580,
Confessions,Augustine,398,
Walden,Henry David Thoreau,1854,
The Interpretation of Dreams,Sigmund Freud,1899,
The Prince,Niccolo Machiavelli,1532,
The Confessions of Jean-Jacques Rousseau,Jean-Jacques Rousseau,1782,
The Complete Works of Plato,Plato,-347,
Fear and Loathing in Las Vegas: A Savage Journey to the Heart of the American Dream,Hunter S. Thompson,1971,
Pensees,Blaise Pascal,1670,
The Elements of Style,"William Strunk, Jr and E. B. White",1918,
The Diary of a Young Girl,Anne Frank,1944,
On the Origin of Species,Charles Darwin,1859,
The Republic,Plato,-380,
The Autobiography of Malcolm X,Alex Haley,1965,
Silent Spring,Rachel Carson,1962,
Homage to Catalonia,George Orwell,1938,
Democracy in America,Alexis de Tocqueville,1840,
"Speak, Memory",Vladimir Nabokov,1940,
Communist Manifesto,Karl Marx and Friedrich Engels,1848,
Thus Spake Zarathustra,Friedrich Nietzsche,1883,
Relativity,Albert Einstein,1917,
Das Kapital,Karl Marx,1867,
Out of Africa,Isak Dinesen,1937,
In Cold Blood,Truman Capote,1966,
"The General Theory of Employment, Interest and Money",John Maynard Keynes,1936,
The Principles of Psychology,William James,1890,
The Double Helix: A Personal Account of the Discovery of the Structure of DNA,James D. Watson,1968,
The Structure of Scientific Revolutions,Thomas Kuhn,1962,
Meditations,Marcus Aurelius,167,
The Histories of Herodotus,Herodotus,-420,
If This Is a Man,Primo Levi,1947,
Civilization and Its Discontents,Sigmund Freud,1929,
The Electric Kool-Aid Acid Test,Tom Wolfe,1968,
Leviathan,Thomas Hobbes,1651,
Memoirs From Beyond the Grave,Francois-Rene De Chateaubriand,1849,
Collected Essays of George Orwell,George Orwell,1961,
The Second World War,Winston Churchill,1953,
The Abolition of Man,C. S. Lewis,1943,
The Essential Writings of Ralph Waldo Emerson,Ralph Waldo Emerson,1882,
Annals,Cornelius Tacitus,120,
The History of the Peloponnesian War,Thucydides,-450,
The Civil War,Shelby Foote,1974,
The Life of Samuel Johnson,James Boswell,1823,
The Art of War,Sun Zi,-200,
The Education of Henry Adams,Henry Adams,1918,
Selected Essays of T. S. Eliot,T. S. Eliot,1932,
A Room of One's Own,Virginia Woolf,1929,
Parallel Lives,Plutarch,120,
R. E. Lee,Douglas Southall Freeman,1934,
Facundo,Domingo Faustino Sarmiento,1845,
Encyclopedia Britannica,Encyclopedia Britannica,1771,
Dispatches,Michael Herr,1977,
Discourse on Method,Rene Descartes,1637,
Philosophical Investigations,Ludwig Wittgenstein,1953,
Rameau's Nephew,Denis Diderot,1805,
Fear and Trembling,Soren Kierkegaard,1843,
The Liberal Imagination,Lionel Trilling,1950,
I Know Why the Caged Bird Sings,Maya Angelou,1969,
The Autobiography of Alice B. Toklas,Gertrude Stein,1933,
Witness,Whittaker Chambers,1952,
Oxford English Dictionary,Oxford University Press,1884,
The Second Sex,Simone de Beauvoir,1949,
Mere Christianity,C. S. Lewis,1942,
The Gulag Archipelago,Aleksandr Solzhenitsyn,1973,
The Constitution of Liberty,Friedrich A. Hayek,1960,
